City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
223,Lorengau,PG,85.39,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
225,Malpe,IN,78.8,mist,13.35,74.7167,Hotel Sri Krishna Residency
227,Waingapu,ID,84.9,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
232,Port Blair,IN,80.6,mist,11.6667,92.75,Welcomhotel Bay Island Port Blair
235,Kununurra,AU,86.0,scattered clouds,-15.7667,128.7333,Hotel Kununurra
236,Soe,ID,78.87,scattered clouds,-9.8607,124.28399999999999,Dena Hotel
237,Bandarbeyla,SO,75.4,broken clouds,9.4942,50.8122,JABIR HOTEL
239,Kavaratti,IN,82.83,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
241,Mersing,MY,84.2,scattered clouds,2.4312,103.8405,Timotel Hotel
242,Georgetown,MY,84.2,few clouds,5.4112,100.3354,Cititel Penang
250,Morant Bay,JM,80.6,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
259,Wanning,CN,75.74,broken clouds,18.8003,110.3967,Paradise Hotel
267,Natitingou,BJ,76.8,scattered clouds,10.3042,1.3796,Auberge Centrale
269,Banikoara,BJ,77.49,scattered clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
270,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
272,Cam Ranh,VN,84.2,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
273,Majene,ID,87.26,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
276,Ilheus,BR,82.4,scattered clouds,-14.7889,-39.0494,Barravento Hotel
283,Bengkulu,ID,83.73,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
284,Kolondieba,ML,78.78,broken clouds,11.0882,-6.8926,Hotel Dakan
289,Sai Buri,TH,84.2,few clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
300,Port Augusta,AU,81.0,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
304,Salinopolis,BR,78.06,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
311,Batticaloa,LK,82.44,few clouds,7.7102,81.6924,Grand Star Guest House
318,Quatre Cocos,MU,77.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
323,Amuntai,ID,85.14,few clouds,-2.4177,115.2494,Hotel Balqis
335,Poum,NC,80.15,clear sky,-20.2333,164.0167,Gîte kajeon
336,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
337,Soure,BR,77.95,moderate rain,-0.7167,-48.5233,Casarão
338,Manjhanpur,IN,80.15,clear sky,25.5333,81.3833,Ma Vaishno Bhojnalay
340,Alice Springs,AU,89.6,clear sky,-23.7,133.8833,Desert Palms Alice Springs
343,Biak,ID,75.7,overcast clouds,-0.9131,122.8766,Penginapan Kim
352,Payo,ID,82.99,overcast clouds,-3.7508,103.6372,Mess keban agung
354,Natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
360,Antalaha,MG,75.36,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
361,Jizan,SA,77.0,few clouds,17.3333,42.6667,شهدان. ابوالحجر
362,Dwarka,IN,76.01,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
367,Wagga Wagga,AU,79.0,clear sky,-35.1167,147.3667,The Club Motel and Apartments
370,Sisophon,KH,89.38,clear sky,13.5859,102.9737,Pyramid Hotel
371,Arraial Do Cabo,BR,75.52,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
373,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
377,Santa Rosa,PH,84.2,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
378,Lagunillas,VE,82.96,broken clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
380,Kramat,ID,85.15,scattered clouds,-8.1311,113.4499,Padepokan HM Arum Sabil
388,Puerto Escondido,MX,80.6,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
